group,ber,mode,n_faults,baseline_acc,mean_acc,std_acc,worst_acc,mean_drop,worst_drop,fail_rate(<50%),cata_rate(<20%)
ALL,0.0,per_param,0,97.9,97.90000000000002,1.4210854715202004e-14,97.9,-1.4210854715202004e-14,0.0,0.0,0.0
ALL,1e-07,per_param,0,97.9,97.90000000000002,1.4210854715202004e-14,97.9,-1.4210854715202004e-14,0.0,0.0,0.0
ALL,1.5e-07,per_param,0,97.9,97.90000000000002,1.4210854715202004e-14,97.9,-1.4210854715202004e-14,0.0,0.0,0.0
ALL,2e-07,per_param,1,97.9,83.56666666666666,32.05030767749699,11.9,14.333333333333343,86.0,0.16666666666666666,0.16666666666666666
ALL,3e-07,per_param,1,97.9,83.56666666666666,32.05030767749699,11.9,14.333333333333343,86.0,0.16666666666666666,0.16666666666666666
ALL,5e-07,per_param,2,97.9,83.56666666666666,32.05030767749699,11.9,14.333333333333343,86.0,0.16666666666666666,0.16666666666666666
ALL,7e-07,per_param,3,97.9,83.56666666666666,32.05030767749699,11.9,14.333333333333343,86.0,0.16666666666666666,0.16666666666666666
ALL,1e-06,per_param,5,97.9,83.56666666666666,32.05030767749699,11.9,14.333333333333343,86.0,0.16666666666666666,0.16666666666666666
ALL,1.2e-06,per_param,6,97.9,83.55833333333332,32.04659259924871,11.9,14.341666666666683,86.0,0.16666666666666666,0.16666666666666666
ALL,1.5e-06,per_param,8,97.9,76.38333333333333,37.22948726778576,11.9,21.51666666666668,86.0,0.25,0.25
ALL,1.8e-06,per_param,9,97.9,76.38333333333333,37.22948726778576,11.9,21.51666666666668,86.0,0.25,0.25
ALL,2e-06,per_param,11,97.9,76.38333333333333,37.22948726778576,11.9,21.51666666666668,86.0,0.25,0.25
ALL,3e-06,per_param,16,97.9,69.23333333333333,40.54082989886725,11.9,28.66666666666667,86.0,0.3333333333333333,0.3333333333333333
ALL,5e-06,per_param,27,97.9,58.06666666666666,41.11204878810536,11.9,39.83333333333334,86.0,0.5,0.4166666666666667
ALL,1e-05,per_param,55,97.9,27.083333333333325,31.85286050297872,11.9,70.81666666666668,86.0,0.8333333333333334,0.75
